custom/total_reward,custom/total_distance,custom/routes_completed,custom/avg_speed,custom/mean_reward,custom/avg_center_dev,time/fps,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,time/iterations,train/std,train/clip_fraction,train/value_loss,train/clip_range,train/learning_rate,train/policy_gradient_loss,train/n_updates,train/loss,train/explained_variance,train/entropy_loss,train/approx_kl
[0.18067158],5.559883050620556,0.013043478260869565,[1.57265456],[0.00531387],0.15194930384565,,,,,,,,,,,,,,,,,
[-9.76586062],2.850396640598774,0.00267379679144385,[1.36523922],[-0.51399266],0.09282573193549278,,,,,,,,,,,,,,,,,
,,,,,,8,-4.75043352,5120,30.91,612,5,,,,,,,,,,,
[0.11432429],4.595534171909094,0.007173601147776184,[1.01231602],[0.00317567],0.12374336987456878,,,,,,,1.0120337009429932,0.07919921875,1.5515377248637379,0.2,9.89888352256e-05,-0.009425717673730105,50,-0.05524170398712158,0.03710305690765381,-2.8622127398848534,0.008512509
[-9.85438011],4.787315494846553,0.019455252918287938,[1.02823376],[-0.18950731],0.12234305503868903,,,,,,,,,,,,,,,,,
[0.11432431],2.3082167133688927,0.0034965034965034965,[1.29526917],[0.00571622],0.0994330056063871,,,,,,,,,,,,,,,,,
[-9.32230305],11.720779817551374,0.017167381974248927,[2.28736238],[-0.15035973],0.1129192501335534,,,,,,,,,,,,,,,,,
[-9.43771023],6.020052020903677,0.019444444444444445,[1.19624203],[-0.16271914],0.08155528941156961,,,,,,,,,,,,,,,,,
[0.0891391],2.508419908583164,0.0030181086519114686,[1.2407312],[0.00469153],0.11880168656378869,,,,,,,,,,,,,,,,,
[0.09018331],1.7674914821982384,0.003883495145631068,[1.39699588],[0.00693718],0.1856574631254892,,,,,,,,,,,,,,,,,
[0.42893842],4.482480693608522,0.006570302233902759,[1.59407125],[0.01261584],0.128336695097442,,,,,,,,,,,,,,,,,
[-9.98129258],0.5542118437588215,0.0014347202295552368,[0.68357218],[-1.10903251],0.0484399810177505,,,,,,,,,,,,,,,,,
[0.5975847],10.02614489197731,0.018211920529801324,[1.95772597],[0.00979647],0.10095835873243736,,,,,,,,,,,,,,,,,
[-10.],0.8242808245122433,0.002173913043478261,[0.53038304],[-0.71428571],0.03873241374353608,,,,,,,,,,,,,,,,,
[0.24215523],2.9454553560353816,0.005847953216374269,[0.73312796],[0.00620911],0.08627293086679831,,,,,,,,,,,,,,,,,
[-10.],4.0450139939785,0.009652509652509652,[1.18424336],[-0.3030303],0.15652860353762765,,,,,,,,,,,,,,,,,
[0.],8.2631213106215,0.016885553470919325,[1.46461713],[0.],0.12539304528908565,,,,,,,,,,,,,,,,,
[0.05384216],5.205904766917229,0.008746355685131196,[1.61732005],[0.00168257],0.2144920865346854,,,,,,,,,,,,,,,,,
-20.0,0.16533416509628296,0.0018018018018018018,[0.53023873],-10.0,0.009402267348249425,,,,,,,,,,,,,,,,,
[-10.],4.6537684462964535,0.007385524372230428,[1.25350121],[-0.27777778],0.20415232139462233,,,,,,,,,,,,,,,,,
[0.],3.2821873910725117,0.021052631578947368,[1.04933761],[0.],0.07897376479079485,,,,,,,,,,,,,,,,,
[0.07835822],5.574744392186403,0.00851063829787234,[1.67397489],[0.00244869],0.1891632080078125,,,,,,,,,,,,,,,,,
[-9.88694433],0.82841557264328,0.0016155088852988692,[0.75210446],[-0.98869443],0.03333812126169117,,,,,,,,,,,,,,,,,
[-9.95215593],1.4371508061885834,0.0038461538461538464,[0.95727665],[-0.66347706],0.12013860435831139,,,,,,,,,,,,,,,,,
[0.24324545],5.893906518816948,0.01020408163265306,[1.99723657],[0.00868734],0.17151588142881577,,,,,,,,,,,,,,,,,
[0.48558611],5.161872666329145,0.03636363636363636,[1.36284703],[0.01277858],0.1767695220997728,,,,,,,,,,,,,,,,,
[-10.],0.07565627712756395,0.0024752475247524753,[0.07880249],[-1.11111111],0.0031632050794889034,,,,,,,,,,,,,,,,,
[0.11747868],2.7605000883340836,0.005649717514124294,[0.56263483],[0.00217553],0.11773034321375332,,,,,,,,,,,,,,,,,
